type,title,director,cast,country,rating,duration,listed_in,year_added
TV Show,Jumping Girl,Unknown,"Luna, U-kwon, Ha-na Jung, B-Bomb, Ha-seong Park",South Korea,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2017.0
TV Show,President,Unknown,"Su-jong Choi, Hee-Ra Ha, Jay Kim, Ji-hye Wang, Shin-il Kang",South Korea,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",2017.0
Movie,Rodney King,Spike Lee,Roger Guenveur Smith,United States,TV-MA,53,Dramas,2017.0
Movie,Small Crimes,Evan Katz,"Nikolaj Coster-Waldau, Gary Cole, Molly Parker, Macon Blair, Pat Healy, Jacki Weaver, Robert Forster","Canada, United States",TV-MA,95,"Dramas, Thrillers",2017.0
TV Show,What in the World Happened?,Unknown,"Eun-mi Go, Jaehyo, Eun-Hyung Jo, Ha-yeon Kim, Shin Yi, Kwang-sun Park",South Korea,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",2017.0
TV Show,Mar de Plástico,Unknown,"Rodolfo Sancho, Belén López, Pedro Casablanc, Luis Fernández, Patrick Criado, Nya de la Rubia, Jesús Castro, Fernando Cayo",Spain,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2017.0
Movie,Dear Zindagi,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Yashaswini Dayama, Gautmik, Raj Bhansali, Rohit Saraf, Atul Kale, Kunal Kapoor, Angad Bedi, Ali Zafar, Aditya Roy Kapoor",India,TV-14,149,"Comedies, Dramas, International Movies",2017.0
Movie,Shepherds and Butchers,Oliver Schmitz,"Steve Coogan, Andrea Riseborough, Garion Dowds, Robert Hobbs, Deon Lotz, Marcel Van Heerden, Lauren Steyn","South Africa, United States, Germany",R,106,"Dramas, International Movies",2017.0
Movie,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Felix Herngren, Måns Herngren","Robert Gustafsson, Jens Hultén, Caroline Boulton, Colin McFarlane, Cory Peterson, Jay Simpson, David Schaal",Sweden,TV-MA,108,"Comedies, International Movies",2017.0
Movie,Vir Das: Abroad Understanding,Marcus Raboy,Vir Das,United States,TV-MA,66,Stand-Up Comedy,2017.0
TV Show,Fangbone,Unknown,"Taylor Abrahamse, Colin Doyle, Juan Chioran, Kathleen Laskey, Stacey DePass, Mike Kiss",Canada,TV-Y7,1 Season,"Kids' TV, TV Comedies",2017.0
TV Show,Girlboss,Unknown,"Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso Mcauley",United States,TV-MA,1 Season,TV Comedies,2017.0
TV Show,Hot Girls Wanted: Turned On,"Jill Bauer, Ronna Gradus, Rashida Jones",Not Available,United States,TV-MA,1 Season,Docuseries,2017.0
Movie,Sand Castle,Fernando Coimbra,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell, Neil Brown Jr., Beau Knapp, Sammy Sheik, Gonzalo Menendez",United States,TV-MA,113,"Action & Adventure, Dramas, Independent Movies",2017.0
TV Show,The Mr. Peabody and Sherman Show,Unknown,"Chris Parnell, Max Charles, Dieter Jansen, Da'Vine Joy Randolph",United States,TV-Y7,4 Seasons,"Kids' TV, TV Comedies",2017.0
Movie,Tramps,Adam Leon,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia, Margaret Colin, Louis Cancelmi, Rachel Zeiger-Haag, Dane Martinez",United States,TV-MA,83,"Dramas, Independent Movies, Romantic Movies",2017.0
Movie,Lucas Brothers: On Drugs,Jay Chapman,"Keith Lucas, Kenny Lucas",United States,TV-MA,50,Stand-Up Comedy,2017.0
